RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3241,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2752,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3163,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3032,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3069,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3642,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3088,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2975,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2863,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3922,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2663,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2447,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2859,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2756,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2779,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2480,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
6571,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2844,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
4327,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2582,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2766,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2838,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2945,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
4641,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2660,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3772,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3158,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2689,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3239,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2458,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2643,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3972,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2867,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2859,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2787,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3310,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2979,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
file,isFamiliar,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
P_M_Tony_Blair.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
P_M_bill_clinton.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
E_F_jennifer_aniston.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
E_F_Judi_Dench.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
E_M_michael_caine.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
E_F_sandra_bullock.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
P_M_boris_johnson.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
E_F_Kate_Winslet.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
P_M_donald_trump.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
P_M_george_Wbush.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
E_M_nicolas_cage.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
P_F_nicola_sturgeon.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
E_M_Hugh_Grant.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
E_M_robert_de_niro.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
E_M_tom_hankes.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
E_F_keira_knightley.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
P_F_hillary_clinton.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
E_F_angelina_jolie.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
P_M_david_cameron.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
P_F_tehresy_may.jpg,1,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
age: 32,gender: Female,handedness: right,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
