RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3674,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1758,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1818,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3308,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2042,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2026,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1652,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1663,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2236,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1768,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2165,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1956,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1908,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2473,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2626,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3279,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2134,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
5568,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1892,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2075,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2854,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2289,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
4016,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2869,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2297,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
16674,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3001,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2464,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3301,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2281,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
4174,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3529,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2368,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2457,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1952,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1514,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
