RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2077,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1419,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1419,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1666,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1517,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1823,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1450,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2348,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2033,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1625,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1759,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1655,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2056,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1720,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2317,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1533,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1767,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
file,isFamiliar,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
E_M_Hugh_Grant.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
E_M_tom_hankes.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
E_M_michael_caine.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
P_F_tehresy_may.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
E_M_robert_de_niro.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
P_M_donald_trump.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
P_M_david_cameron.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
P_F_hillary_clinton.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
E_F_sandra_bullock.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
E_F_jennifer_aniston.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
