RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3479,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
13342,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3896,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2769,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
5633,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
4394,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
1853,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
5484,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2762,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3187,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
12969,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
9920,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2712,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
7350,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
4785,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
4112,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2727,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2128,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
8866,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
11686,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2915,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
18210,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
14343,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3834,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2457,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2467,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
4400,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
7822,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
14674,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3319,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
15023,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3608,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2093,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2512,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3218,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
6197,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
4743,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3284,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
7277,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
4987,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
