RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2111,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2531,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2646,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1955,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3746,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4634,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2442,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2683,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2926,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
6143,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2083,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4027,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1895,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1563,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1644,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
5102,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2647,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1970,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2811,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4215,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4871,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1835,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2347,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1879,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2295,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2646,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1912,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1770,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2175,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4311,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2147,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2758,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3323,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
10811,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1814,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2883,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4222,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2407,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2243,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1759,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4183,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2871,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
