RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3108,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1054,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1521,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1454,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1610,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2131,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3625,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
4349,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2182,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3153,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3620,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1929,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2130,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3473,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2097,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2565,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2316,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2885,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2550,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3332,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2492,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
4108,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2253,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2462,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
