RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3294,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1985,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2319,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2336,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2731,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3396,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2139,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2272,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1265,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2901,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1913,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3105,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3194,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2320,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2072,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2132,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3052,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2352,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2312,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2929,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2488,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3122,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3194,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1722,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2705,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2168,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1430,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2640,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2897,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1734,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2119,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2781,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
8464,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1734,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2622,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2192,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3774,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2000,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3508,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
