RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1165,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1940,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
3464,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1891,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1396,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1413,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1299,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2168,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1524,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1214,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1084,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1009,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
