RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2714,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
file,isFamiliar,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Ewan_McGregor.png,0,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_nigel_farage.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_Tony_Blair.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_Sajid_Javid.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_keir_starmer.png,0,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Michael_McIntyr.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_F_Julie_Walters.png,0,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_F_Sarah_Millican.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_david_camer.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_jeremy_corbyn.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Peter_Kay.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_F_Jennifer_Saunders.png,0,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_Gordon_Brown.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Jimmy_Carr.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_F_nicola_sturge.png,0,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_Michael_Gove.png,0,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_F_Dawn_Roma_French.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Russell_Howard.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Simon_Pegg.png,0,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_F_Theresa_May.png,1,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
file,imageryAns,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_Michael_Gove.png,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_F_Jennifer_Saunders.png,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Peter_Kay.png,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_Tony_Blair.png,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_nigel_farage.png,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_F_Sarah_Millican.png,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Simon_Pegg.png,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Ewan_McGregor.png,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_Sajid_Javid.png,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_david_camer.png,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_F_Theresa_May.png,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_jeremy_corbyn.png,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Russell_Howard.png,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_Gordon_Brown.png,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_F_Dawn_Roma_French.png,2,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_M_keir_starmer.png,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
P_F_nicola_sturge.png,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Michael_McIntyr.png,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_F_Julie_Walters.png,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
E_M_Jimmy_Carr.png,2,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
age: 28,gender: Female,handedness: right,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
