RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3413,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3477,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2559,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3481,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1962,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1964,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2111,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2486,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1826,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2016,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2065,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1816,E_M_Hugh_Grant.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1879,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1768,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2325,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1641,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2533,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1913,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1838,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2008,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3177,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1906,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1838,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2679,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2190,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
6384,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
