RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3244,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2884,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
6540,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3267,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
4475,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3063,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2856,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
1874,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2145,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2706,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
