RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
5701,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2182,E_F_jennifer_aniston.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2232,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2422,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
3319,P_F_esther_mcvey.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2696,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2749,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2768,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2233,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
8787,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
3895,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
3249,P_F_angela_rayner.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
3823,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
3203,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2079,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
3098,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2008,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2731,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2875,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2139,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
