RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2471,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
3501,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1578,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2952,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1740,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
3018,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
10988,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
5113,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
file,isFamiliar,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_M_michael_caine.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_F_hillary_clinton.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_F_jennifer_aniston.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_M_tom_hankes.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_M_robert_de_niro.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_M_Tony_Blair.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_M_george_Wbush.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_F_sandra_bullock.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_F_nicola_sturgeon.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_M_bill_clinton.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_F_tehresy_may.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_M_boris_johnson.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_M_david_cameron.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_F_keira_knightley.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_F_angelina_jolie.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_F_Kate_Winslet.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_F_Judi_Dench.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_M_Hugh_Grant.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_M_nicolas_cage.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_M_donald_trump.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
file,imageryAns,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_M_george_Wbush.jpg,2,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_F_jennifer_aniston.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_M_nicolas_cage.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_F_Judi_Dench.jpg,4,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_M_Tony_Blair.jpg,2,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_M_boris_johnson.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_M_michael_caine.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_M_Hugh_Grant.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
P_M_david_cameron.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
E_F_keira_knightley.jpg,1,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
