RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2022,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
4193,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2232,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
1751,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2251,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
1891,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
6065,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
5245,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
5324,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
1991,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
4064,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
1880,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2452,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
1991,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3312,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2833,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
5755,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2702,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
