RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3977,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4739,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2721,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
5663,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
9209,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2825,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3854,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4734,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3194,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2786,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
5516,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4372,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
5166,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
6214,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4395,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
5140,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2742,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2480,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4493,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3393,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2013,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4574,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
5145,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
14194,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2765,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4540,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4525,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4218,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3635,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
