RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3218,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
33496,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2497,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2980,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2240,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3421,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
5601,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
7791,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2078,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3301,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2903,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2987,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4163,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3910,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2197,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2446,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
15859,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4463,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
5989,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2862,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
7559,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
5486,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
