RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
1748,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2421,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2299,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2252,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
8845,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3542,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2286,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2784,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3144,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
5905,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2068,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2828,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2127,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2584,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2128,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3143,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2564,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2654,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2800,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
