RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3101,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
6558,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2684,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4256,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3452,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
1566,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
5752,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
6573,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2821,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
1935,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
