RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
5162,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
9417,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
5277,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3552,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4790,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
7794,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
7172,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4211,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
7127,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
8032,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
8727,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3242,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
11084,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
2616,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
6671,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
2835,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4449,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3684,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3143,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3240,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4279,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3917,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
12350,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3218,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3180,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3473,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3920,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
