RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4205,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3295,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3739,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3770,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3421,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3180,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3476,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4839,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3553,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2957,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3571,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5824,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2665,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2716,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3001,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3085,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2764,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3064,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4076,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
