RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1903,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2777,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2074,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2126,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1666,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1713,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2120,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1766,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1842,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1990,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1673,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1603,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1604,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1366,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1595,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1645,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1565,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1506,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1458,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1543,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1467,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2680,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1323,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2971,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1472,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1644,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1707,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2573,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
5448,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2739,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1660,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2332,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2229,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1773,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2339,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1465,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1670,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1729,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1446,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1404,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1353,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1447,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
