RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1332,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4620,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1544,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3674,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1535,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1541,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2770,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1339,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3574,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2147,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4085,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
6579,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1464,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1523,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3949,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1358,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
5009,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1328,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2133,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1623,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2235,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1512,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4107,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1495,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1621,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2152,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1584,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1367,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4206,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1749,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3369,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2377,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2311,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1629,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1866,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2798,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1220,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2343,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1956,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1907,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2546,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2365,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1798,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1368,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4155,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1513,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2966,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1570,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1208,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1602,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1928,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1816,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2987,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3080,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2187,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
6452,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4125,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4503,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3056,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2678,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1451,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1316,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1723,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
5610,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
