RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3400,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3309,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5911,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3669,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4238,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3886,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5494,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2461,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3353,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4789,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3926,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5946,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5487,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2426,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3906,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5280,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
8797,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2572,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3047,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5301,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2936,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3545,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3667,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4362,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5652,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4813,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3576,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3618,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
6219,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3867,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3032,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
7991,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2677,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4064,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3379,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4770,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4111,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3022,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3881,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
