RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1438,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1273,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1708,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
4474,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,5,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1197,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2536,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1343,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2789,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1276,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1649,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1327,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1168,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
7794,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1122,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1543,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2062,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2254,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1613,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
4207,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1241,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1629,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2255,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1197,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
4299,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1452,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1741,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1251,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1883,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1194,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1851,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
7723,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1346,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1463,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1330,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2043,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1552,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1709,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
