RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
39821,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2989,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2626,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1979,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2771,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3063,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2675,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1982,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2618,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1343,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1816,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
