RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608489b0f443591db476893d,"04/26/2022, 07:43:23"
5632,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
6408,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3769,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,608489b0f443591db476893d,"04/26/2022, 07:43:23"
5409,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2056,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
4756,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2334,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2267,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,608489b0f443591db476893d,"04/26/2022, 07:43:23"
5012,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2428,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2602,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
file,isFamiliar,608489b0f443591db476893d,"04/26/2022, 07:43:23"
E_F_Judi_Dench.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
E_M_tom_hankes.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
P_M_david_cameron.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
E_F_jennifer_aniston.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
P_F_tehresy_may.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
P_F_hillary_clinton.jpg,0,608489b0f443591db476893d,"04/26/2022, 07:43:23"
E_F_Kate_Winslet.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
P_M_bill_clinton.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
E_M_robert_de_niro.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
E_F_angelina_jolie.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
E_M_michael_caine.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
P_M_boris_johnson.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
E_F_keira_knightley.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
E_M_Hugh_Grant.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
P_F_nicola_sturgeon.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
P_M_george_Wbush.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
E_M_nicolas_cage.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
E_F_sandra_bullock.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
P_M_donald_trump.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
P_M_Tony_Blair.jpg,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
age: 35,gender: Female,handedness: right,608489b0f443591db476893d,"04/26/2022, 07:43:23"
