RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2828,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2945,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2478,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2961,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3412,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2414,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2312,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3928,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
141312,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
59333,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6730,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5844,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
8879,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
41132,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
7128,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
8596,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
83104,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
15745,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
13062,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5283,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
11946,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5348,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3145,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
12730,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4195,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5645,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
13529,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
8645,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
9646,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6163,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6095,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
33964,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4028,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
