RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3264,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3773,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
4218,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
31134,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
4958,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
12128,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
20625,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
20430,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
2264,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
11091,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
