RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3174,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
1934,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2263,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4008,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
6326,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2503,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2207,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2503,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
6087,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3199,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3055,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3727,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4447,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2415,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2710,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2583,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2407,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2392,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2534,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4184,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2814,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4631,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
