RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1870,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1817,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1876,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1367,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1255,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1419,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1597,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2270,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2405,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2396,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1679,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2957,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
