RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2713,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2617,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3769,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2504,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2386,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
4207,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1970,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1553,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1762,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2515,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1817,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2547,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1847,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2918,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2039,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1991,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2752,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2461,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2028,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1894,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2492,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2376,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2842,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1808,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1847,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2435,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
4489,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2950,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3292,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1555,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1914,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1587,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1978,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1295,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1562,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1361,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2136,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2053,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2083,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2082,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3483,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1746,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
