RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
8651,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6901,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7073,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
9366,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7182,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6887,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
10003,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6238,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4760,E_M_anthony_hopkins.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
12616,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6956,E_M_tom_hankes.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
36045,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6525,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4706,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
3346,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
