RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
2996,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
8469,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4655,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5153,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5030,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
6969,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4151,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4836,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3480,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3418,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4098,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4074,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3625,E_F_Judi_Dench.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3506,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4956,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5054,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5544,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3844,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
