RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3429,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3943,E_M_Ewan_McGregor(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4958,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4634,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3958,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3772,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
6453,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
7219,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3408,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
6112,E_F_Julie_Walters(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4623,E_F_Dawn_Roma(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4205,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3860,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
6061,E_F_Julie_Walters(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4505,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3955,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3671,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3531,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4502,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3528,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3334,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3782,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
