RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
4950,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2746,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2308,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3400,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3133,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2580,E_F_Dawn_Roma(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2432,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3600,E_F_Dawn_Roma(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3401,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2555,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2781,E_M_Jimmy_Carr(12).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
4108,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2484,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2316,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2915,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3176,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3528,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3598,E_F_Dawn_Roma(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2331,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2536,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2135,P_M_Michael_Gove(3).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
5888,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2343,E_M_Ewan_McGregor(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3261,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2465,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3158,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
4020,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2074,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2197,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3283,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
4326,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
4385,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2897,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2345,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3863,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2532,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2615,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3045,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
