RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2661,E_F_Dawn_Roma(22).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
3224,P_F_Theresa_May(16).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2445,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2149,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1964,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1924,P_F_Theresa_May(16).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1611,E_F_Jennifer_Saunders(21).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2898,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1880,E_F_Jennifer_Saunders(21).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2207,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1562,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1927,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1615,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1775,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1559,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1284,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
5007,P_M_david_camer(18).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1631,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
9584,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2613,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1726,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1454,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1884,P_F_nicola_sturge(17).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2727,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2212,E_F_Julie_Walters(15).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2296,E_F_Dawn_Roma(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1710,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1391,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1434,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1829,E_F_Jennifer_Saunders(21).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
