RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2082,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2877,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3114,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3435,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2191,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2464,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2960,E_M_Peter_Kay(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
7384,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2635,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4990,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
5353,E_F_Dawn_Roma(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3143,E_M_Jimmy_Carr(12).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2638,E_M_Jimmy_Carr(12).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2576,E_F_Julie_Walters(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
8405,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
5577,P_F_nicola_sturge(17).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
1918,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2938,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
1869,P_F_Theresa_May(16).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4624,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2906,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2552,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2723,E_F_Julie_Walters(15).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2826,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
10606,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2366,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3962,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4494,E_F_Sarah_Millican(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2565,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3030,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2352,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2654,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2455,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3655,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4085,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2435,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2917,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3009,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2970,E_F_Jennifer_Saunders(21).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2478,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
7587,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3898,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3129,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4923,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
file,isFamiliar,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
P_M_keir_starmer(9).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
P_M_Tony_Blair(12).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
E_M_Ewan_McGregor(15).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
E_F_Dawn_Roma(22).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
E_M_Michael_McIntyr(7).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
P_M_Gordon_Brown(14).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
E_M_Simon_Pegg(24).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
E_M_Russell_Howard(20).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
P_M_Michael_Gove(3).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
E_M_Jimmy_Carr(12).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
P_M_jeremy_corbyn(10).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
P_M_david_camer(18).png,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
