RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4652,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
1885,P_F_nicola_sturge(17).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2636,E_M_Jimmy_Carr(12).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3578,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2040,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
1697,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2218,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2715,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2772,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2111,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2044,P_F_Theresa_May(16).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2686,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3023,E_M_Jimmy_Carr(12).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
1778,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
1580,E_M_Ewan_McGregor(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
1481,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
1780,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2968,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
file,isFamiliar,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
P_M_jeremy_corbyn(10).png,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
E_M_Peter_Kay(20).png,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
P_M_Gordon_Brown(14).png,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
