RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1704,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3918,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1981,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1921,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1882,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1750,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1866,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2486,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1999,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1659,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
