RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_M_Tony_Blair.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_F_tehresy_may.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_M_nicolas_cage.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_M_liam_neeson.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_F_nicola_sturgeon.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_M_boris_johnson.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_F_PRITI_PATEL.jpg,0,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_F_sandra_bullock.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_M_bill_clinton.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
age: 27,gender: Female,handedness: right,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
