RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2299,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1726,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2254,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1479,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
3185,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1862,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1456,E_M_Martin_Freeman.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1691,E_M_Hugh_Grant.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1423,E_M_tom_hankes.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1569,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1412,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1531,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1636,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1858,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1724,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
3475,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1841,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1853,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1545,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
