RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3397,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2291,E_M_anthony_hopkins.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2506,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3122,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2288,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2474,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2431,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
8584,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2571,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3506,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
8538,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3224,P_F_angela_rayner.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
6109,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
