RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2764,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2988,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3362,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3544,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
5083,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2720,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3406,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3626,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2796,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
5218,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3896,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
15794,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
4662,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
4431,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
5266,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2370,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3082,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2608,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2599,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
4062,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
6795,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3253,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
file,isFamiliar,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
P_M_boris_johnson.jpg,1,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
E_F_keira_knightley.jpg,1,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
E_F_Kate_Winslet.jpg,1,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
P_M_george_Wbush.jpg,1,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
P_F_tehresy_may.jpg,1,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
E_F_sandra_bullock.jpg,1,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
E_M_nicolas_cage.jpg,1,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
