RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3022,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3549,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
4311,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3605,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2770,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
4595,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3025,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
17207,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
5956,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3828,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3577,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2925,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2607,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2958,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2172,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2547,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2727,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
1795,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3119,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2658,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2973,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3400,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2750,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3028,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3839,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
