RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4394,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3951,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2517,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3644,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3499,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2843,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5658,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
6834,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3326,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2537,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5427,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3877,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2970,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3722,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3814,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4213,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2738,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3885,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3403,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3875,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
6149,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
156657,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2919,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2679,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3565,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
6379,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
