RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2961,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4596,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2793,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3927,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3598,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3895,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3662,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2696,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3459,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3084,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3293,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
5029,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4069,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3209,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3934,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2756,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3182,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2729,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3673,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
