RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
4781,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
file,isFamiliar,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
E_F_keira_knightley.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
E_M_robert_de_niro.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
E_F_angelina_jolie.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
P_M_boris_johnson.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
P_F_hillary_clinton.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
P_M_george_Wbush.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
P_M_Tony_Blair.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
E_F_Kate_Winslet.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
P_M_david_cameron.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
P_F_nicola_sturgeon.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
P_F_tehresy_may.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
E_M_Hugh_Grant.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
E_F_jennifer_aniston.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
P_M_donald_trump.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
E_M_tom_hankes.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
E_F_sandra_bullock.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
E_F_Judi_Dench.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
E_M_michael_caine.jpg,0,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
E_M_nicolas_cage.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
P_M_bill_clinton.jpg,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
age: 30,gender: Female,handedness: left,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
