RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4161,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
12936,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4960,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
7368,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3902,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3216,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
8346,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2991,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4047,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5378,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2811,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4039,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2866,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3442,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2789,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6817,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4116,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6434,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3835,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4904,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
8886,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5194,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3092,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4949,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3813,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
