RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
4611,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2363,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3312,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2738,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2499,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2798,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3444,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3549,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2811,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2457,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3060,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2705,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
4522,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2268,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2200,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2292,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2296,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2155,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3190,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
5917,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2588,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
1868,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
12193,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2544,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3246,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2422,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2171,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
4407,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
