RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2502,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2471,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2623,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2415,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2702,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
3343,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2263,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2439,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2255,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
3934,P_F_esther_mcvey.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
3751,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
3119,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2726,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
4055,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2743,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2639,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
10518,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
3831,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2431,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2574,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2318,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2079,E_M_tom_hankes.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2127,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
3671,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2359,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
3734,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
