RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
6370,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3722,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
7385,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3280,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3424,E_F_keira_knightley.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4513,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5169,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4922,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4341,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5652,E_M_liam_neeson.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3799,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3808,E_F_jennifer_aniston.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3712,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4254,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4800,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4922,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
8395,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3575,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3931,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4478,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4614,P_F_esther_mcvey.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3203,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3674,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3436,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4601,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4405,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3933,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4655,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
7199,E_M_anthony_hopkins.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5629,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5605,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
7126,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4280,E_M_liam_neeson.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4380,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4528,E_M_liam_neeson.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4678,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4134,E_M_Martin_Freeman.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4812,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
