RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
8606,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
6875,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
4513,P_F_hillary_clinton.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
8193,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
4555,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
6254,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
14940,E_F_Judi_Dench.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
6101,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
3289,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
6434,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
6431,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
8070,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
15601,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
5049,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
7190,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
3707,E_M_michael_caine.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
5796,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
6376,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
16796,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
4530,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
6562,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
3623,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
4377,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
3910,E_M_robert_de_niro.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
