RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1984,E_M_Martin_Freeman.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
4041,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2724,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1317,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2921,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1798,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
971,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
991,E_F_keira_knightley.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
963,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1338,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1624,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1890,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
3604,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
876,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1089,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1448,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2081,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
3311,E_M_Martin_Freeman.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
3114,E_F_Judi_Dench.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1345,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1649,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2015,E_M_anthony_hopkins.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
5343,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1847,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
10640,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
7179,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
