RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
5804,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
15370,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
4869,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3145,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3130,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3794,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
2584,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3481,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
4802,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
5293,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
8713,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
2575,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
2382,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
2172,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3299,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3064,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
4117,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
