RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3190,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3254,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2423,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3449,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4391,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2437,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2502,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2711,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2150,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2247,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2622,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3991,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3967,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4463,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2559,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4823,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3678,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4119,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2961,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2403,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2270,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
1984,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2327,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
1983,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2269,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
1715,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2718,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2487,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2583,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2140,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
6342,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4743,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
5191,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2121,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2024,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2207,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3132,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2103,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
