RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2285,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2590,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3503,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
5881,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2331,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
6873,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2784,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2115,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
1836,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2098,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2520,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3647,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2181,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2102,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2338,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2716,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3057,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3719,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2069,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2117,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3688,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2085,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2599,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2643,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
file,isFamiliar,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
P_michaeli.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
E_shaniCo.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
E_yanai.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
P_yehimovitz.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
E_harLev.jpg,0,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
E_shaharHasson.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
P_zamir.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
P_liberman.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
E_moniMo.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
E_tavori.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
P_peretz.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
E_ornaBanai.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
E_katorza.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
P_lapid.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
E_ivri.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
P_smootchi.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
P_shaked.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
E_alfi.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
P_benet.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
E_rita.jpg,1,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
age: 37,gender: F,handedness: right,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
