RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2794,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3279,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4526,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3959,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4025,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
7373,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2641,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3366,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
7009,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3323,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
