RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3456,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4495,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4450,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3020,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3315,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3470,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3569,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2909,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2754,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3311,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
