RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3160,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4738,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3820,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2253,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
11811,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3504,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4401,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2395,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3998,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2980,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2648,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
