RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4633,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3624,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
2898,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4198,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4093,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4510,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3154,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3142,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4766,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4419,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4210,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
