RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1782,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
3893,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
3028,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1852,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2362,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2645,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1852,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
3367,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
3288,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2414,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2006,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2806,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2004,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1811,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
3104,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2526,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2694,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1988,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2822,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2960,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1603,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1428,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2125,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
