RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2067,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2606,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2548,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2897,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3963,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4520,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4690,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
5034,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2727,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3391,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2079,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3606,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2282,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
file,isFamiliar,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Entertainment_har_lev.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Politics_yehimovitz.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Politics_shaked.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Entertainment_shimi.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Politics_benet.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Entertainment_mushonov.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Entertainment_ornaBanai.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Entertainment_shani.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Entertainment_yanai.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Politics_michaeliM.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
E_guri2-250x310.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Politics_zamir.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Entertainment_HassonShaher.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Politics_peretz.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Entertainment_Ivri2.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Entertainment_rita.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
E_katorza2-250x341.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Politics_smootch.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Politics_lapid.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
Politics_liberman2.jpg,1,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
age: 29,gender: F,handedness: right,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
