RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1819,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1606,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1325,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2335,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3030,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1948,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1606,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1504,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1984,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1771,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
13754,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2623,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3186,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1733,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2294,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2546,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2615,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3310,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3841,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
