RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
P_F_Theresa_May.png,1,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
E_M_Michael_McIntyr.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
E_F_Julie_Walters.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
E_M_Simon_Pegg.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
P_M_Michael_Gove.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
E_M_Jimmy_Carr.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
P_M_Sajid_Javid.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
P_F_nicola_sturge.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
E_M_Russell_Howard.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
P_M_david_camer.png,1,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
E_F_Sarah_Millican.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
P_M_keir_starmer.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
P_M_Gordon_Brown.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
E_F_Jennifer_Saunders.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
age: 35,gender: Male,handedness: right,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
